Title,Price,Tags
Dread Templar,Rp 89 999,"Early Access, FPS, Retro, Bullet Time"
第七号列车 - Train No. 7,Free To Play,"Casual, RPG, Adventure, Relaxing"
Chasing Tails ~A Promise in the Snow~,Rp 53 399,"Sexual Content, Nudity, Hentai, Visual Novel"
Puzzle Light: Slide,Rp 5 949,"Puzzle, Logic, Casual, Difficult"
Crowalt: Traces of the Lost Colony - Prologue,Free,"Adventure, Pixel Graphics, Mystery, Story Rich"
Blood Spear,Free,"Violent, Indie, Blood, Atmospheric"
Touhou DollDraft,Rp 86 399,"Strategy, Puzzle, Board Game, Real Time Tactics"
UpGun,Rp 74 699,"Casual, Shooter, Multiplayer, Arcade"
Tsugunohi,Rp 69 999,"Indie, Adventure, Action, Horror"
西湖断桥白娘子,Rp 59 999,"Strategy, Turn-Based Tactics, PvP, Casual"
神魔契约,Free To Play,"Adventure, Action, RPG, 3D Fighter"
Metro Simulator,Rp 119 999,"Simulation, Indie, Early Access, Trains"
White Hell,Rp 86 399,"Early Access, Action, FPS, Shooter"
REPLIKATOR,Rp 74 699,"Early Access, Action, Indie, Action Roguelike"
FINAL FANTASY III,Rp 239 000,"RPG, JRPG, Singleplayer, 2D"
NARAKA: BLADEPOINT,Rp 220 000,"Battle Royale, Multiplayer, Martial Arts, Survival"
HUMANKIND™,Rp 498 000,"Strategy, Turn-Based Strategy, 4X, Historical"
Car Mechanic Simulator 2021 - Starter Bundle,Rp 176 697,"Simulation, Racing, Indie, Automobile Sim"
It Takes Two,Rp 421 500,"Co-op, Adventure, Split Screen, Puzzle"
Fallout 4: Game of the Year Edition,Rp 133 000,"RPG, Open World, Post-apocalyptic, Singleplayer"
Back 4 Blood,Rp 749 000,"Action, Zombies, Online Co-Op, Shooter"
Monster Hunter World: Iceborne Master Edition,Rp 390 249,"Action, Multiplayer, Co-op, Open World"
DOOM Eternal Deluxe Edition,Rp 296 250,"Action, FPS, Great Soundtrack, Gore"
Stardew Valley,Rp 69 599,"Farming Sim, Life Sim, RPG, Pixel Graphics"
Car Mechanic Simulator 2021,Rp 113 999,"Simulation, Racing, Automobile Sim, Sandbox"
Grand Theft Auto V: Premium Edition,Rp 300 750,"Action, Open World, Multiplayer, Adventure"
Tribes of Midgard,Rp 135 999,"Action, Tower Defense, Roguelike, Roguelite"
Phasmophobia,Rp 76 499,"Horror, Online Co-Op, Multiplayer, Psychological Horror"
Draw & Guess,Rp 24 999,"Casual, Multiplayer, Hand-drawn, Family Friendly"
Football Manager 2021,Rp 199 999,"Sports, Simulation, Management, Singleplayer"
Counter-Strike: Global Offensive,Free to Play,"FPS, Shooter, Multiplayer, Competitive"
Dota 2,Free to Play,"Free to Play, MOBA, Multiplayer, Strategy"
PUBG: BATTLEGROUNDS,Rp 219 999,"Survival, Shooter, Multiplayer, Battle Royale"
Apex Legends™,Free to Play,"Free to Play, Battle Royale, Multiplayer, Shooter"
Grand Theft Auto V,,"Open World, Action, Multiplayer, Automobile Sim"
Back 4 Blood: Open Beta,,"Action, Gore, Violent, Zombies"
Rust,Rp 169 999,"Survival, Crafting, Multiplayer, Open World"
Team Fortress 2,Free to Play,"Free to Play, Hero Shooter, Multiplayer, FPS"
Tom Clancy's Rainbow Six® Siege,Rp 205 000,"FPS, Hero Shooter, Multiplayer, Tactical"
NARAKA: BLADEPOINT,Rp 220 000,"Battle Royale, Multiplayer, Martial Arts, Survival"
Bless Unleashed,Free To Play,"RPG, Action, MMORPG, Massively Multiplayer"
Warframe,Free to Play,"Free to Play, Looter Shooter, Action, Co-op"
Football Manager 2021,Rp 199 999,"Sports, Simulation, Management, Singleplayer"
ARK: Survival Evolved,Rp 139 999,"Open World Survival Craft, Survival, Open World, Multiplayer"
Dead by Daylight,Rp 135 999,"Horror, Survival Horror, Multiplayer, Online Co-Op"
Get Stuffed!,Free To Play,"Horror, Casual, Comedy, PvP"
Between Two Cities - Stonemaier Games,,"Strategy, Board Game, Tabletop, Massively Multiplayer"
Hero Tower,,"Strategy, RPG, Puzzle, Singleplayer"
Demon Strikes Back,,"Adventure, Action, Action-Adventure, Action RPG"
Toy Tinker Simulator,,"Simulation, Building, Realistic, Family Friendly"
Axial Disc 1,Free,"RPG, Pixel Graphics, Party-Based RPG, Adventure"
Chupacabras: Night Hunt,,"Action, Adventure, Action-Adventure, Shooter"
ELEC,,"Racing, Combat Racing, Bikes, Action"
Geo-Duck,Free,"Singleplayer, 2D Platformer, Music-Based Procedural Generation, Arcade"
The Doors of Trithius,,"RPG, Roguelike, Strategy, Open World"
Ninja Stealth 4,,"Casual, Strategy, Action-Adventure, Puzzle"
Spellthief Erinn,,"Adventure, Arcade, Platformer, Puzzle"
Road 96 🛣️,,"Adventure, Narration, Atmospheric, Dystopian "
QB Planets,,"Casual, Puzzle, 3D, Cartoony"
Sengoku - A Time of Warriors and Demons,Free,"Action, Adventure, Action-Adventure, Hack and Slash"
